,datetime_of_infraction,time_of_infraction,year,month,day,infraction_code,infraction_description,set_fine_amount,location2,province,latitude,longitude,permit_time_restrictions,fee_related,time_related,plate_related,fire_route,accessible_related,commercial_related,obstruction_related,cycle_related
0,2016-12-30 16:37:00,16:37:00,2016,12,30,403.0,STOP-SIGNED HIGHWAY-RUSH HOUR,150,"1546 BLOOR ST W, TORONTO, ON, CANADA",ON,43.656337,-79.4531425,0,0,1,0,0,0,0,0,0
2000,2016-12-31 03:04:00,03:04:00,2016,12,31,29.0,PARK PROHIBITED TIME NO PERMIT,30,"48 BRISTOL AVE, TORONTO, ON, CANADA",ON,43.67088938652574,-79.43863765020743,1,0,1,0,0,0,0,0,0
4000,2016-08-26 20:34:00,20:34:00,2016,8,26,210.0,PARK FAIL TO DISPLAY RECEIPT,30,"25 MUTUAL ST, TORONTO, ON, CANADA",ON,43.6540308,-79.3743148,0,1,0,0,0,0,0,0,0
6000,2016-08-29 10:55:00,10:55:00,2016,8,29,3.0,PARK ON PRIVATE PROPERTY,30,"377 RIDELLE AVE, TORONTO, ON, CANADA",ON,43.703861,-79.44009949999999,1,0,0,0,0,0,0,0,0
8000,2016-08-31 13:10:00,13:10:00,2016,8,31,16.0,PARK-WITHIN 9M INTERSECT ROAD,50,"45 SHEPPARD ST, TORONTO, ON, CANADA",ON,43.6502959,-79.3824041,0,0,0,0,0,0,0,1,0
10000,2016-09-02 12:31:00,12:31:00,2016,9,2,3.0,PARK ON PRIVATE PROPERTY,30,"666 ONTARIO ST, TORONTO, ON, CANADA",ON,43.66947415,-79.37327197745356,1,0,0,0,0,0,0,0,0
12000,2016-09-05 00:48:00,00:48:00,2016,9,5,29.0,PARK PROHIBITED TIME NO PERMIT,30,"SHAW ST, TORONTO, ON, CANADA",ON,43.6461332,-79.4167656,1,0,1,0,0,0,0,0,0
14000,2016-09-07 15:47:00,15:47:00,2016,9,7,5.0,PARK-SIGNED HWY-PROHIBIT DY/TM,50,"607 SAMMON AVE, TORONTO, ON, CANADA",ON,43.68904451034483,-79.32364098965517,1,0,0,0,0,0,0,0,0
16000,2016-09-09 20:17:00,20:17:00,2016,9,9,210.0,PARK FAIL TO DISPLAY RECEIPT,30,"1190 ST CLAIR AVE W, TORONTO, ON, CANADA",ON,43.6778952,-79.4440307,0,1,0,0,0,0,0,0,0
18000,2016-09-12 09:33:00,09:33:00,2016,9,12,406.0,PARK-VEH. W/O VALID ONT PLATE,40,"64 DUNCANNON DR, TORONTO, ON, CANADA",ON,43.703295,-79.4119782,0,0,0,1,0,0,0,0,0
20000,2016-09-14 10:04:00,10:04:00,2016,9,14,3.0,PARK ON PRIVATE PROPERTY,30,"38 DAN LECKIE WAY, TORONTO, ON, CANADA",ON,43.6376402,-79.3982741,1,0,0,0,0,0,0,0,0
